Country,PopDenisty_per_mile,Coast_Line_Ratio,Birthrate,PopDenisty_per_mile_Ranked,Coast_Line_Ratio_Ranked,Birthrate_Ranked,Percent_incountry_Travel_Growth,Percent_incountry_Travel_Growth_Ranked,Percent_self_emplyed,Percent_self_emplyed_Ranked,suicide_per_100k,suicide_per_100k_Ranked,No_of_Arrivals,No_of_Arrivals_Ranked,Per_of_FemalePop,Per_of_FemalePop_Ranked,Household_size,Household_Nuclear,Household_size_Ranked,Household_Nuclear_Ranked,Weighted_Rank,Overall_Rank
Latvia,35.2,0.82,9.24,64,111.5,211,4.46401,72,13.3,154,27.52405769,189,1946000,86,54.07340312,2,2.515,61.865,142,41,111,16.5
Romania,93.9,0.09,10.7,129,173.5,189,2.68334,142,26.8,114,10.79647588,124,11720000,32,51.55093067,27,2.90875,61.35166667,117,45,95,38.5
Nepal,192.2,0,30.98,172,205.5,52,4.80351,63,80,19,11.91137636,136,1173000,99.5,51.45671778,28,4.937142857,51.83,44,112,94,41.5
Albania,124.6,1.26,15.11,146,101,149,3.68443,96,59.6,46.5,6.063859235,59,5340000,55,49.52042114,157,3.66,65.23666667,98,18,72,109
Thailand,125.7,0.63,13.87,147,120.5,159,6.75613,15,52.8,56,10.12782653,118,38178000,9,51.2368017,35,4.705,58.39,56,67,65,129
Angola,9.7,0.13,45.11,22,165.5,9,4.63182,68,71.5,32,13.68360467,152,218000,126,50.96303626,48,5.163333333,53.28333333,34,101,93,44
Mali,9.5,0,49.82,21,205.5,2,5.79367,34,88.7,8,8.261613482,96,14000,139,49.95645826,127,5.74625,53.2425,18,103,83,72
Argentina,14.4,0.18,16.73,33,157,132,2.77851,139,24.8,120,7.6557415,83,6942000,48,51.05634302,42,3.546,60.414,101,51,83,72
Pakistan,206.2,0.13,29.74,175,165.5,58,5.71467,35,61,43,13.23572991,148,0,0,48.63393041,177,6.462,51.838,8,111,79,85
Armenia,99.9,0,12.07,133,205.5,173,5.12246,49,43.7,73.5,3.568777585,23,1652000,92,52.96482882,10,3.9125,49.40166667,94,116,79,85
South Africa,36.2,0.23,18.2,65,148,118,3.49429,106,15,146,14.67579733,160,10472000,37,50.92185697,49,3.701428571,40.365,97,135,107,21
Australia,2.6,0.34,12.14,6,136,171,3.00637,130,16.8,135.5,11.96014704,137,9246000,40,50.18277087,107,2.516666667,64.35,141,25,96,35
Uzbekistan,61,0,26.36,93,205.5,72,6.10745,29,27.4,112,8.523171913,100,5346000,54,50.15083213,111,5.24,62.44,31.5,38,76,94.5
Austria,97.7,0,8.74,130.5,205.5,219,3.21604,116,12.5,157,19.68568961,177,30816000,12,50.96886151,45,2.458888889,57.966,147,73,113,13
Madagascar,31.7,0.82,41.41,62,111.5,17,3.04703,127,89.3,5.5,5.969326976,56,291000,121,50.1305938,113,4.886,59.86,47.5,55,74,104
Azerbaijan,91.9,0,20.74,126,205.5,102,5.09365,51,71.9,31,2.588415365,13,2633000,74,50.18813361,105,4.35,58.205,73,71,65,129
Mongolia,1.8,0,21.59,3,205.5,98,3.18968,118,48.4,63,13.49699388,151,529000,114,50.53249028,79,4.39,63.6,70,29,98,32
Bangladesh,1023.4,0.4,29.8,217,131,57,6.5917,19,60.1,45,14.60783785,157,0,0,49.5743623,152,4.941,59.104,43,60,75,100.5
Niger,9.9,0,50.73,23,205.5,1,4.31315,77,89.3,5.5,9.251179385,106,157000,130,49.85517298,136,6.055,49.6975,12,115,88,58
Belarus,49.6,0,11.16,81.5,205.5,180,1.54742,167,3.37,175,25.55377376,186,11501600,33,53.46624719,7,2.5275,58.7925,140,63,119,5.5
Peru,22,0.19,20.48,49,155.5,104.5,5.21603,43,53.9,54,1.731238514,9,4419000,59,50.05483206,119,4.203333333,56.53818182,81,82,59,143.5
Belgium,340,0.22,10.38,201,150.5,193,2.46098,152,14.7,148,15.0804098,161,9119000,41,50.68928284,69,2.36,60.6,153.5,48,117,7.5
Serbia,106.3,0,0,137,205.5,0,5.04627,53,31.6,102,14.47202875,156,1711000,90,51.13593872,40,2.925,58.31,116,68,104,26
Benin,69.8,0.11,38.85,106.5,168,28,6.44423,23,89.1,7,6.247377157,62,295000,120,50.11892327,115,5.432,44.17777778,26,129,77,89.5
Swaziland,65.5,0,27.41,99,205.5,67,2.40101,155,20.7,127,10.70164763,122,0,0,51.57183669,25,4.69,26.84,57,150,96,35
Bolivia,8.2,0,23.3,19,205.5,81,2.70054,140,34.4,98,2.09177033,11,1142000,101,49.93761985,132,4.162222222,58.25875,83,70,83,72
Uganda,119.5,0,47.35,144,205.5,3,7.69541,8,77.7,22,9.319755753,107,0,0,50.25811683,98,4.814444444,49.31666667,52,117,65,129
Botswana,2.7,0,23.08,7.5,205.5,83,5.46524,39,17.6,130,9.960464787,114,0,0,50.57017496,75,4.424,22.3825,66,151,82,76.5
Kazakhstan,5.6,0,16,16,205.5,139,3.29511,114,26.7,115,25.86096217,187,8789000,42,51.5672169,26,3.64,59.41666667,100,57,101,28.5
Brazil,22.1,0.09,16.56,50,173.5,135,3.62208,101,31.8,100,4.216723875,31,6621000,49,50.85486059,52,4.304444444,66.93222222,77,12,62,139.5
Lithuania,55,0.14,8.75,87,163,218,5.21331,44,12.6,156,35.12718217,194,2825000,71,53.92806468,4,2.5475,39.79,139,136,122,2
Bulgaria,66.6,0.32,9.65,103.5,138,206,1.86459,164,11.7,160,11.99783926,139,9273000,39,51.38879851,30,2.613333333,55.3,134,87,111,16.5
Malaysia,74,1.42,22.86,109,98,85,3.61575,102,25.6,118,8.1285568,92,25832000,14,48.37674988,182,4.76,60.89,53,46,76,94.5
Burkina Faso,50.7,0,45.62,83,205.5,7,4.42727,73,87.8,12,8.228692817,95,144000,131,50.12898457,114,6.235555556,43.25875,10,130,90,52.5
Mauritius,608.3,8.68,15.43,211,61,146,3.80075,90,20.4,128,8.074160178,91,1399000,95,50.53673605,78,3.48,0,102,0,91,49
Burundi,290.7,0,42.22,188,205.5,15,1.31559,172,93.3,1,13.40180391,150,0,0,50.78774939,58,4.65,67.05333333,58,10,76,94.5
Mozambique,24.6,0.31,35.18,51,139.5,39,6.72847,16,88.6,9.5,9.081569987,103,2743000,72,51.15974545,38,4.445,54.555,63,92,66,124
Cambodia,76.7,0.24,26.9,111,145,69,6.95381,11,51.3,58,4.983512661,44,6201000,51,51.20651046,36,4.8825,63.125,49,31,51,161
New Zealand,15.2,5.63,13.76,35,70,160,3.15797,121,17.3,133.5,11.12116104,128,3686000,64,50.8263287,55,2.69,63.02,129,35,93,44
Cameroon,36.5,0.08,33.89,66,176,45,5.03408,54,75.4,25,7.036993349,72,0,0,49.95267263,129,5.174285714,35.63571429,33,141,62,139.5
Norway,14.2,7.77,11.46,32,65,178,1.67824,165,7.3,172,9.923190509,113,5688000,53,49.54635697,156,2.255,58.1,159,72,109,19
Canada,3.3,2.02,10.78,11,92,185,2.79317,138,14.9,147,11.08195293,127,21134000,17,50.38218173,91,2.488,63.492,145,30,90,52.5
Papua New Guinea,12.3,1.11,29.36,27,102,59,6.57679,20,76.3,24,12.1201671,141,140000,132,49.12863841,173,5.126666667,59.19333333,36,59,86,64.5
Central African Republic,6.9,0,33.91,17,205.5,44,5.19938,45,69.1,34,13.39950997,149,0,0,50.67654901,70,4.91,37.58,46,139,74,104
Poland,123.3,0.16,9.85,145,158.5,202,3.38593,111,21,126,11.99003617,138,19622000,18,51.70690302,23,2.942857143,61.6525,115,43,93,44
Chad,7.7,0,45.73,18,205.5,6,3.56214,104,91.8,2,7.952727376,88,0,0,49.94374497,130,5.49,54.16,23,97,59,143.5
Sao Tome and Principe,193.2,20.88,40.25,174,45,23,4.86958,61,35.8,92,10.02557351,115,33400,137,50.20187437,104,3.84,48.42,95,119,106,22.5
Chile,21.3,0.85,15.23,47,110,148,3.55338,105,27.7,111,7.099052863,73,5723000,52,50.46306445,85,4.134,53.665,84,100,83,72
Singapore,6482.2,27.85,9.34,225,37,209,3.13642,122,14.1,150.5,12.68577051,146,14673000,27,50.59025198,74,3.435,0,104,0,95,38.5
China,136.9,0.15,13.25,156,161,164,6.17187,27,36.2,91,18.34325871,172,62900000,4,48.47029142,179,3.913333333,65.18,93,19,87,60.5
Sudan,16.5,0.03,34.53,39,181.5,42,3.89265,83,44.8,69,9.372405084,109,836000,110,50.02376315,120,5.59,58.63,22,64,87,60.5
Colombia,38.3,0.28,20.48,67,141.5,104.5,4.17546,78,50.7,60,4.218676156,32,3904000,63,50.80032427,56,4.331818182,54.14454545,76,98,67,121
Tajikistan,51.2,0,32.65,84,205.5,49,0.720572,176,47.9,65,3.936590904,28,1035000,105,49.7764294,144,6.13,45.5,11,125,90,52.5
Comoros,318.4,15.67,36.93,196,51,33,2.47505,151,68.9,35,4.626597901,40,35900,136,49.56045563,154,5.84,44.345,16,128,92,46.5
Trinidad and Tobago,207.9,7.06,12.9,176,66,165,3.11628,123,22.3,123,9.337369993,108,375000,118,50.73715179,64,4.05,54.406,87,94,109,19
Costa Rica,79.8,2.52,18.32,116,84.5,116,4.36486,76,21.7,124,5.546782477,51,3017000,70,49.98616933,123,4.228,65.268,79,17,74,104
United Kingdom,247.6,5.08,10.71,180,71,188,1.52512,168,15.3,143,7.677848339,84,36316000,10,50.65876632,72,2.36,63.86,153.5,28,89,55.5
Cote d'Ivoire,54.8,0.16,35.11,86,158.5,40,6.90461,13,75.2,26,18.64728348,173,1965000,84,49.34258834,166,5.745,30.1225,19,147,96,35
Zambia,15.3,0,41,36,205.5,18,6.40143,25,77.8,21,10.03935319,117,1072000,103,50.37930569,92,5.3175,48.6675,28,118,82,76.5
