Country,PopDenisty_per_mile,Coast_Line_Ratio,Birthrate,Percent_incountry_Travel_Growth,Percent_self_emplyed,suicide_per_100k,antidepressant_per_1k,Per_of_FemalePop,Household_size,Household_Nuclear,suicide_per_100k_Ranked,Birthrate_Ranked,Percent_incountry_Travel_Growth_Ranked,Percent_self_emplyed_Ranked,PopDenisty_per_mile_Ranked,Coast_Line_Ratio_Ranked,antidepressant_per_1k_Ranked,Per_of_FemalePop_Ranked,Household_size_Ranked,Household_Nuclear_Ranked,Overall_Rank
Curacao,0,0,0,0,0,0,0,54.17816454,0,0,0,0,0,0,0,0,0,1,0,0,0.1
South Korea,0,0,0,0,0,0,19.9,0,0,0,0,0,0,0,0,0,2,0,0,0,0.2
United States Virgin Islands,0,0,0,0,0,0,0,52.33382908,0,0,0,0,0,0,0,0,0,14,0,0,1.4
State of Palestine,0,0,0,0,0,0,0,0,6.0275,75.89666667,0,0,0,0,0,0,0,0,13,3,1.6
Macao,0,0,0,0,0,0,0,52.00139423,0,0,0,0,0,0,0,0,0,18,0,0,1.8
Tokelau,0,0,0,0,0,0,0,0,5.24,0,0,0,0,0,0,0,0,0,31.5,0,3.15
Niue,0,0,0,0,0,4.281140201,0,0,0,0,33,0,0,0,0,0,0,0,0,0,3.3
Egypt,0,0,0,0,0,0,0,0,4.858,75.215,0,0,0,0,0,0,0,0,51,4,5.5
St. Kitts and Nevis,0,0,0,4.46428,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,7.1
Syria,0,0,0,0,39.4,0,0,0,0,0,0,0,0,84.5,0,0,0,0,0,0,8.45
Channel Islands,0,0,0,0,0,0,0,50.40044036,0,0,0,0,0,0,0,0,0,90,0,0,9
Dem. People's Rep. of Korea,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,92,0,9.2
Wallis and Futuna,58.5,47.08,0,0,0,0,0,0,0,0,0,0,0,0,90,29,0,0,0,0,11.9
Cabo Verde,0,0,0,3.17988,0,0,0,0,0,0,0,0,119,0,0,0,0,0,0,0,11.9
North Macedonia,0,0,0,0,23.1,0,0,0,0,0,0,0,0,122,0,0,0,0,0,0,12.2
Bahamas,0,0,0,0,18.8,0,0,0,0,0,0,0,0,129,0,0,0,0,0,0,12.9
Western Sahara,1,0.42,0,0,0,0,0,0,0,0,0,0,0,0,2,128.5,0,0,0,0,13.05
Republic of Moldova,0,0,0,0,0,0,0,0,2.9,65.54333333,0,0,0,0,0,0,0,0,119,16,13.5
"China, Hong Kong SAR",0,0,0,0,0,0,0,0,2.906666667,65.155,0,0,0,0,0,0,0,0,118,20,13.8
Lao PDR,0,0,0,5.49299,83.1,0,0,0,5.77,56.97,0,0,38,14,0,0,0,0,17,80,14.9
Serbia and Montenegro,0,0,0,0,0,13.83879209,0,0,0,0,153,0,0,0,0,0,0,0,0,0,15.3
Runion,0,0,0,0,0,0,0,0,2.64,64.33,0,0,0,0,0,0,0,0,132.5,26,15.85
Yugoslavia,0,0,0,0,0,14.67219667,0,0,0,0,159,0,0,0,0,0,0,0,0,0,15.9
St. Lucia,0,0,0,4.63426,34.8,0,0,0,0,0,0,0,67,95,0,0,0,0,0,0,16.2
"China, Macao SAR",0,0,0,0,0,0,0,0,3.075,60.435,0,0,0,0,0,0,0,0,113,50,16.3
Timor-Leste,0,0,0,0,51.6,0,0,0,5.273333333,57.015,0,0,0,57,0,0,0,0,30,78,16.5
United States of America,0,0,0,0,0,0,0,0,2.721111111,62.407,0,0,0,0,0,0,0,0,127,39,16.6
Republic of Korea,0,0,0,0,0,0,0,0,2.705,61.73333333,0,0,0,0,0,0,0,0,128,42,17
Czechoslovakia,0,0,0,0,0,19.51779692,0,0,0,0,176,0,0,0,0,0,0,0,0,0,17.6
USSR,0,0,0,0,0,22.76975111,0,0,0,0,182,0,0,0,0,0,0,0,0,0,18.2
East Germany,0,0,0,0,0,24.452345,0,0,0,0,184,0,0,0,0,0,0,0,0,0,18.4
Turks and Caicos Is,49.2,90.47,21.84,0,0,0,0,0,0,0,0,96,0,0,80,13,0,0,0,0,18.9
St. Vincent and the Grenadines,0,0,0,5.55506,11.9,0,0,0,0,0,0,0,36,158,0,0,0,0,0,0,19.4
Sint Maarten (Dutch part),0,0,0,0,0,0,0,0,2.58,58.83,0,0,0,0,0,0,0,0,135,62,19.7
Saint-Martin (French part),0,0,0,0,0,0,0,0,2.56,58.51,0,0,0,0,0,0,0,0,137,66,20.3
Marshall Islands,5.1,3.12,33.05,0,0,7.255068679,0,0,0,0,77,47,0,0,14,79,0,0,0,0,21.7
Saint-Barthlemy,0,0,0,0,0,0,0,0,2.42,57.27,0,0,0,0,0,0,0,0,151,75,22.6
Greenland,0,2.04,15.93,0,0,0,0,0,0,0,0,140,0,0,1,90.5,0,0,0,0,23.15
Faroe Islands,33.8,79.84,14.05,0,0,0,0,0,0,0,0,156,0,0,63,14,0,0,0,0,23.3
Congo,0,0,0,0,0,9.856473451,0,49.97721805,0,0,112,0,0,0,0,0,0,125,0,0,23.7
Palestine,0,0,0,0,43.7,0,0,49.28649684,0,0,0,0,0,73.5,0,0,0,168,0,0,24.15
St Pierre and Miquelon,29,49.59,13.52,0,0,0,0,0,0,0,0,163,0,0,57,27,0,0,0,0,24.7
East Timor,70.8,4.7,26.99,0,0,0,0,0,0,0,0,68,0,0,108,74,0,0,0,0,25
Palau,44.9,331.66,18.03,0,0,5.562626311,0,0,0,0,53,120,0,0,76,2,0,0,0,0,25.1
Yemen,0,0,0,0,0,6.221543021,0,49.48242189,6.68,63.945,61,0,0,0,0,0,0,160,7,27,25.5
Democratic Republic of Congo,0,0,0,0,0,12.25756788,0,50.10881854,0,0,142,0,0,0,0,0,0,117,0,0,25.9
Saint Helena,18.2,14.53,12.13,0,0,0,0,0,0,0,0,172,0,0,41,52,0,0,0,0,26.5
N. Mariana Islands,172.9,310.69,19.43,0,0,0,0,0,0,0,0,109,0,0,165,3,0,0,0,0,27.7
"Yemen, Rep.",40.6,0.36,42.89,9.60365,54.1,0,0,0,0,0,0,13,6,53,72,135,0,0,0,0,27.9
Cook Islands,89.1,50,21,0,0,4.43733495,0,0,0,0,34,100,0,0,123,26,0,0,0,0,28.3
Montserrat,92.5,39.22,17.59,0,0,0,0,0,0,0,0,126,0,0,127,30,0,0,0,0,28.3
Slovakia,0,0,0,0,0,11.84681357,38.9,0,3.0175,63.035,135,0,0,0,0,0,5,0,114,33,28.7
Timor,0,0,0,0,0,10.78198988,0,49.21820096,0,0,123,0,0,0,0,0,0,171,0,0,29.4
American Samoa,290.4,58.29,22.46,0,0,0,0,0,0,0,0,89,0,0,187,22,0,0,0,0,29.8
Gaza Strip,3968.8,11.11,39.45,0,0,0,0,0,0,0,0,26,0,0,222,56,0,0,0,0,30.4
Virgin Islands,56.9,9.84,13.96,0,0,0,0,0,0,0,0,157,0,0,88,59,0,0,0,0,30.4
Saint Kitts and Nevis,149.9,51.72,18.02,0,0,0,0,0,0,0,0,121.5,0,0,159,25,0,0,0,0,30.55
Nauru,632.7,142.86,24.76,0,0,4.076257647,0,0,0,0,30,76,0,0,212,9,0,0,0,0,32.7
South Sudan,0,0,0,0,57.9,0,0,49.89534592,5.95,42.99,0,0,0,50,0,0,0,133,14,131,32.8
Anguilla,132.1,59.8,14.17,0,0,0,0,0,0,0,0,154,0,0,154,21,0,0,0,0,32.9
"Congo, Rep.",10.8,0.05,42.57,3.76611,76.4,0,0,0,0,0,0,14,93,23,25,178,0,0,0,0,33.3
British Virgin Islands,151,52.29,14.89,10.2299,0,0,0,0,0,0,0,151,4,0,160,24,0,0,0,0,33.9
